"Time	Open	High	Low	Close	Volume";Open;High;Low;Close
"2006-12-31 00:00	1.31908	1.31964	1.31894	1.31915	47067";;;;
"2007-01-01 00:00	1.31925	1.32343	1.31650	1.32329	1997937";;;;
"2007-01-02 00:00	1.32318	1.32951	1.32226	1.32792	2007954";;;;
"2007-01-03 00:00	1.32793	1.32903	1.31461	1.31596	2015230";;;;
"2007-01-04 00:00	1.31630	1.31783	1.30704	1.30769	2009950";;;;
"2007-01-05 00:00	1.30783	1.31029	1.29804	1.29995	1867959";;;;
"2007-01-07 00:00	1.30097	1.30141	1.29837	1.29930	141100";;;;
"2007-01-08 00:00	1.29933	1.30461	1.29722	1.30448	2010624";;;;
"2007-01-09 00:00	1.30460	1.30517	1.29598	1.29673	2004266";;;;
"2007-01-10 00:00	1.29643	1.30002	1.29261	1.29459	2023593";;;;
"2007-01-11 00:00	1.29461	1.30124	1.28788	1.28822	2003783";;;;
"2007-01-12 00:00	1.28825	1.29418	1.28668	1.29212	1854297";;;;
"2007-01-14 00:00	1.29219	1.29276	1.29121	1.29160	146287";;;;
"2007-01-15 00:00	1.29154	1.29550	1.29121	1.29249	1995838";;;;
"2007-01-16 00:00	1.29250	1.29875	1.29062	1.29207	2023060";;;;
"2007-01-17 00:00	1.29221	1.29494	1.28973	1.29341	1998099";;;;
"2007-01-18 00:00	1.29351	1.29756	1.28971	1.29637	1996322";;;;
"2007-01-19 00:00	1.29609	1.29998	1.29129	1.29536	1864829";;;;
"2007-01-21 00:00	1.29592	1.29704	1.29505	1.29675	142983";;;;
"2007-01-22 00:00	1.29680	1.29769	1.29201	1.29400	1997102";;;;
"2007-01-23 00:00	1.29412	1.30423	1.29288	1.30233	2006308";;;;
"2007-01-24 00:00	1.30242	1.30357	1.29475	1.29522	2007952";;;;
"2007-01-25 00:00	1.29537	1.30002	1.29139	1.29334	2008773";;;;
"2007-01-26 00:00	1.29352	1.29386	1.28807	1.29144	1856463";;;;
"2007-01-28 00:00	1.29147	1.29246	1.28995	1.29019	142442";;;;
"2007-01-29 00:00	1.29010	1.29679	1.28948	1.29466	2011117";;;;
"2007-01-30 00:00	1.29464	1.29800	1.29448	1.29584	1992847";;;;
